vardas          Pavarde          Galutiis(vid.)   
-----------------------------------------------
Vardas66        Pavarde66        9.13             
Vardas62        Pavarde62        8.73             
Vardas56        Pavarde56        8.60             
Vardas12        Pavarde12        8.33             
Vardas28        Pavarde28        8.20             
Vardas44        Pavarde44        8.07             
Vardas64        Pavarde64        8.00             
Vardas14        Pavarde14        8.00             
Vardas51        Pavarde51        8.00             
Vardas36        Pavarde36        7.93             
Vardas17        Pavarde17        7.87             
Vardas47        Pavarde47        7.87             
Vardas45        Pavarde45        7.67             
Vardas37        Pavarde37        7.67             
Vardas54        Pavarde54        7.60             
Vardas85        Pavarde85        7.60             
Vardas4         Pavarde4         7.53             
Vardas33        Pavarde33        7.53             
Vardas11        Pavarde11        7.47             
Vardas71        Pavarde71        7.33             
Vardas15        Pavarde15        7.33             
Vardas81        Pavarde81        7.27             
Vardas41        Pavarde41        7.20             
Vardas22        Pavarde22        7.20             
Vardas16        Pavarde16        7.13             
Vardas89        Pavarde89        7.13             
Vardas6         Pavarde6         7.13             
Vardas29        Pavarde29        7.00             
Vardas74        Pavarde74        7.00             
Vardas70        Pavarde70        6.93             
Vardas69        Pavarde69        6.87             
Vardas3         Pavarde3         6.80             
Vardas88        Pavarde88        6.80             
Vardas52        Pavarde52        6.73             
Vardas20        Pavarde20        6.67             
Vardas65        Pavarde65        6.60             
Vardas75        Pavarde75        6.47             
Vardas2         Pavarde2         6.40             
Vardas31        Pavarde31        6.40             
Vardas59        Pavarde59        6.40             
Vardas93        Pavarde93        6.40             
Vardas100       Pavarde100       6.40             
Vardas55        Pavarde55        6.33             
Vardas32        Pavarde32        6.33             
Vardas79        Pavarde79        6.27             
Vardas5         Pavarde5         6.13             
Vardas35        Pavarde35        6.13             
Vardas82        Pavarde82        6.13             
Vardas43        Pavarde43        6.00             
Vardas39        Pavarde39        6.00             
Vardas13        Pavarde13        5.93             
Vardas68        Pavarde68        5.87             
Vardas86        Pavarde86        5.73             
Vardas96        Pavarde96        5.67             
Vardas38        Pavarde38        5.60             
Vardas26        Pavarde26        5.53             
Vardas18        Pavarde18        5.40             
Vardas67        Pavarde67        5.40             
Vardas83        Pavarde83        5.40             
Vardas34        Pavarde34        5.27             
Vardas63        Pavarde63        5.27             
Vardas1         Pavarde1         5.00             
Vardas99        Pavarde99        5.00             
