vardas          Pavarde          Galutiis(vid.)   
-----------------------------------------------
Vardas80        Pavarde80        4.87             
Vardas80        Pavarde80        4.87             
Vardas38        Pavarde38        4.80             
Vardas45        Pavarde45        4.67             
Vardas51        Pavarde51        4.60             
Vardas51        Pavarde51        4.60             
Vardas30        Pavarde30        4.40             
Vardas27        Pavarde27        4.27             
Vardas27        Pavarde27        4.27             
Vardas71        Pavarde71        4.13             
Vardas86        Pavarde86        4.13             
Vardas86        Pavarde86        4.13             
Vardas26        Pavarde26        3.87             
Vardas26        Pavarde26        3.87             
Vardas28        Pavarde28        3.80             
Vardas35        Pavarde35        3.67             
Vardas41        Pavarde41        3.67             
Vardas3         Pavarde3         3.67             
Vardas7         Pavarde7         3.60             
Vardas87        Pavarde87        3.60             
Vardas100       Pavarde100       3.53             
Vardas5         Pavarde5         3.40             
Vardas40        Pavarde40        3.33             
Vardas34        Pavarde34        3.27             
Vardas20        Pavarde20        3.27             
Vardas20        Pavarde20        3.27             
Vardas49        Pavarde49        3.13             
Vardas68        Pavarde68        3.07             
Vardas68        Pavarde68        3.07             
Vardas92        Pavarde92        3.00             
Vardas93        Pavarde93        2.87             
Vardas73        Pavarde73        2.87             
Vardas66        Pavarde66        2.73             
Vardas76        Pavarde76        2.53             
Vardas76        Pavarde76        2.53             
Vardas37        Pavarde37        2.47             
Vardas52        Pavarde52        2.47             
Vardas75        Pavarde75        2.33             
Vardas11        Pavarde11        2.27             
Vardas70        Pavarde70        2.13             
